state_name,cause,intent,pop,state,total_deaths,crude_rate,age_adjusted_rate,year,rate_per_1000,deaths_year,suicide_rate,suicide_deaths
Alabama,All Intents Firearm,All Intents,79976290,1,14084,17.61,17.42,2017,22.9,1124,16.6,836
Alabama,Violence-related Firearm,Violence-related,79976290,1,13420,16.78,16.59,2017,22.9,1124,16.6,836
Alaska,All Intents Firearm,All Intents,11848797,2,2277,19.22,19.16,2017,24.5,180,27,200
Alaska,Violence-related Firearm,Violence-related,11848797,2,2156,18.2,18.16,2017,24.5,180,27,200
Arizona,All Intents Firearm,All Intents,105943656,4,16093,15.19,15.05,2017,15.8,1134,18.2,1327
Arizona,Violence-related Firearm,Violence-related,105943656,4,15670,14.79,14.65,2017,15.8,1134,18.2,1327
Arkansas,All Intents Firearm,All Intents,48788500,5,7914,16.22,16.14,2017,20.3,613,20.8,631
Arkansas,Violence-related Firearm,Violence-related,48788500,5,7546,15.47,15.38,2017,20.3,613,20.8,631
California,All Intents Firearm,All Intents,629704470,6,54181,8.6,8.45,2017,7.9,3184,10.5,4312
California,Violence-related Firearm,Violence-related,629704470,6,53102,8.43,8.28,2017,7.9,3184,10.5,4312
Colorado,All Intents Firearm,All Intents,84552579,8,10088,11.93,11.73,2017,13.4,779,20.3,1181
Colorado,Violence-related Firearm,Violence-related,84552579,8,9861,11.66,11.46,2017,13.4,779,20.3,1181
Connecticut,All Intents Firearm,All Intents,60267221,9,3089,5.13,5.09,2017,5.1,188,10.5,405
Connecticut,Violence-related Firearm,Violence-related,60267221,9,3032,5.03,4.99,2017,5.1,188,10.5,405
Delaware,All Intents Firearm,All Intents,15043796,10,1491,9.91,9.8,2017,11.7,111,11.6,112
Delaware,Violence-related Firearm,Violence-related,15043796,10,1466,9.74,9.63,2017,11.7,111,11.6,112
Florida,All Intents Firearm,All Intents,317658078,12,38341,12.07,11.56,2017,12.4,2724,14,3227
Florida,Violence-related Firearm,Violence-related,317658078,12,37771,11.89,11.38,2017,12.4,2724,14,3227
Georgia,All Intents Firearm,All Intents,161253362,13,21404,13.27,13.22,2017,15.4,1623,13.6,1451
Georgia,Violence-related Firearm,Violence-related,161253362,13,20842,12.93,12.88,2017,15.4,1623,13.6,1451
Hawaii,All Intents Firearm,All Intents,22827034,15,729,3.19,3.05,2017,2.5,39,15.2,227
Hawaii,Violence-related Firearm,Violence-related,22827034,15,706,3.09,2.96,2017,2.5,39,15.2,227
