Year,"Geographic
Region",State of Death,Sex,"Veteran
Suicides"
2005,NA,Total U.S.,Total,5787
2005,NA,Total U.S.,Male,5610
2005,NA,Total U.S.,Female,177
2005,Northeast,Connecticut,Total,44
2005,Northeast,Connecticut,Male,40-50
2005,Northeast,Connecticut,Female,<10
2005,Northeast,Maine,Total,43
2005,Northeast,Maine,Male,40-50
2005,Northeast,Maine,Female,<10
2005,Northeast,Massachusetts,Total,64
2005,Northeast,Massachusetts,Male,60-70
2005,Northeast,Massachusetts,Female,<10
2005,Northeast,New Hampshire,Total,33
2005,Northeast,New Hampshire,Male,30-40
2005,Northeast,New Hampshire,Female,<10
2005,Northeast,New Jersey,Total,63
2005,Northeast,New Jersey,Male,60-70
2005,Northeast,New Jersey,Female,<10
2005,Northeast,New York,Total,157
2005,Northeast,New York,Male,150-160
2005,Northeast,New York,Female,<10
2005,Northeast,Pennsylvania,Total,268
2005,Northeast,Pennsylvania,Male,260-270
2005,Northeast,Pennsylvania,Female,<10
2005,Northeast,Rhode Island,Total,12
2005,Northeast,Rhode Island,Male,10-20
2005,Northeast,Rhode Island,Female,<10
2005,Northeast,Vermont,Total,13
2005,Northeast,Vermont,Male,10-20
2005,Northeast,Vermont,Female,<10
2005,Midwest,Illinois,Total,189
2005,Midwest,Illinois,Male,180-190
2005,Midwest,Illinois,Female,<10
2005,Midwest,Indiana,Total,142
2005,Midwest,Indiana,Male,130-140
2005,Midwest,Indiana,Female,<10
2005,Midwest,Iowa,Total,65
2005,Midwest,Iowa,Male,60-70
2005,Midwest,Iowa,Female,<10
2005,Midwest,Kansas,Total,70
2005,Midwest,Kansas,Male,60-70
2005,Midwest,Kansas,Female,<10
2005,Midwest,Michigan,Total,186
2005,Midwest,Michigan,Male,170-180
2005,Midwest,Michigan,Female,<10
2005,Midwest,Minnesota,Total,87
2005,Midwest,Minnesota,Male,80-90
2005,Midwest,Minnesota,Female,<10
2005,Midwest,Missouri,Total,145
2005,Midwest,Missouri,Male,140-150
2005,Midwest,Missouri,Female,<10
2005,Midwest,Nebraska,Total,34
2005,Midwest,Nebraska,Male,30-40
2005,Midwest,Nebraska,Female,<10
2005,Midwest,North Dakota,Total,16
